UTM_x,UTM_y,S2004,S2005,S2006,S2007,S2008,S2009,S2010,S2011,S2012
570769.4349,1677351.546,0,0,0,0,0,0,0,0,0
570779.1913,1677352.619,0,0,0,0,0,0,0,0,0
570788.6174,1677353.34,0,0,0,0,0,0,0,0,0
570797.1166,1677348.717,0,0,0,0,0,NA,0,0,0
570795.8842,1677356.458,0,0,0,0,0,0,NA,NA,NA
570802.9509,1677351.805,0,0,0,0,0,0,0,0,0
570805.0014,1677355.398,0,0,0,NA,NA,NA,NA,NA,NA
570808.5502,1677359.234,0,0,0,0,0,0,0,0,0
570808.9917,1677357.27,0,0,0,NA,NA,NA,NA,NA,NA
570809.8441,1677348.753,0,0,0,0,0,0,0,0,0
570803.2226,1677346.657,0,0,0,0,0,0,NA,NA,NA
570799.2754,1677338.581,0,0,0,0,0,0,0,0,0
570794.6795,1677342.007,0,0,0,NA,NA,NA,0,NA,NA
570786.2693,1677341.35,0,0,0,0,0,0,0,0,0
570796.0396,1677339.479,0,0,0,NA,NA,NA,NA,NA,NA
570782.4198,1677341.639,0,0,0,0,0,0,0,0,NA
570779.6596,1677343.949,0,0,0,NA,NA,NA,NA,NA,NA
570767.7937,1677341.441,0,0,0,0,0,0,0,0,0
570777.1517,1677334.672,0,0,0,NA,NA,NA,NA,NA,NA
570768.1406,1677338.865,0,0,0,0,0,0,0,0,0
570772.6129,1677333.791,0,0,0,0,0,0,0,0,0
570762.4659,1677339.937,0,0,0,0,0,0,0,0,0
570769.0685,1677334.664,0,0,0,0,0,0,0,0,0
570763.2387,1677333.177,0,0,0,0,0,0,0,0,0
570757.7798,1677331.854,0,0,0,0,0,0,0,NA,NA
570755.689,1677337.582,0,0,0,NA,NA,NA,NA,NA,NA
570754.3005,1677331.775,0,0,0,0,0,0,0,0,0
570748.2835,1677336.549,0,0,0,0,0,0,0,0,0
570741.3183,1677330.098,0,0,0,0,0,0,0,NA,NA
570744.4602,1677330.971,0,0,0,0,0,0,0,NA,NA
570736.5908,1677332.039,0,0,0,1,1,NA,NA,NA,NA
570732.8787,1677334.455,0,0,0,1,1,1,1,1,0
570733.3617,1677331.496,0,0,0,1,1,NA,NA,NA,NA
570731.0062,1677330.289,0,0,0,1,1,1,1,NA,NA
570727.1096,1677328.013,0,0,0,1,1,1,1,1,1
570719.9522,1677325.492,0,0,0,0,0,0,0,0,1
570716.7093,1677331.532,0,0,0,NA,NA,NA,NA,NA,NA
570718.351,1677327.877,0,0,0,NA,NA,NA,NA,NA,NA
570714.7208,1677326.942,0,0,0,0,0,0,0,0,1
570705.3117,1677326.069,0,0,0,NA,NA,NA,NA,NA,NA
570703.8588,1677321.67,0,0,0,NA,NA,NA,NA,NA,NA
570697.3176,1677323.711,0,0,0,NA,NA,NA,NA,NA,NA
570694.1928,1677325.618,0,0,0,NA,NA,NA,NA,NA,NA
570694.4481,1677322.418,0,0,0,NA,NA,NA,NA,NA,NA
570693.3325,1677327.702,0,0,0,NA,NA,NA,NA,NA,NA
570689.3825,1677320.553,0,0,0,0,0,0,0,1,1
570690.0976,1677325.638,0,0,0,NA,NA,NA,NA,NA,NA
570687.239,1677323.131,0,0,0,0,0,0,0,0,0
570690.0533,1677328.772,0,0,0,0,0,0,0,0,0
570816.5463,1677359.315,0,0,0,NA,NA,NA,NA,NA,NA
570826.1888,1677352.23,0,0,0,0,0,0,0,0,0
570832.9604,1677358.221,0,0,0,0,0,0,0,0,0
570844.8142,1677363.919,0,0,0,0,0,NA,NA,NA,NA
570840.486,1677359.243,0,0,0,0,0,0,0,0,0
570846.4213,1677358.173,0,0,0,0,0,0,0,0,0
570847.8932,1677356.783,0,0,0,0,0,0,0,0,0
570848.6928,1677364.652,0,0,0,0,0,NA,NA,NA,NA
570849.5193,1677362.241,0,0,0,NA,NA,NA,NA,NA,NA
570853.1861,1677361.82,0,0,0,0,0,0,0,0,0
570853.4066,1677356.969,0,0,0,0,0,0,0,0,0
570854.6202,1677365.414,0,0,0,0,0,0,0,0,0
570864.3931,1677362.933,0,0,0,0,0,0,0,0,0
570864.4258,1677359.171,0,0,0,0,1,0,NA,NA,NA
570870.732,1677364.882,0,0,0,0,0,0,0,0,0
570870.0207,1677367.644,0,0,0,0,0,0,0,0,0
570870.654,1677363.8,0,0,1,1,1,1,0,NA,NA
570870.6129,1677363.991,0,0,1,1,1,1,0,NA,NA
570873.886,1677360.618,0,0,1,1,1,1,1,0,0
570877.0468,1677360.49,0,0,0,0,1,0,0,NA,NA
570888.381,1677370.13,0,0,0,0,0,0,0,0,0
570884.6243,1677365.305,0,0,1,NA,NA,NA,NA,NA,NA
570887.6654,1677366.639,0,0,0,NA,NA,NA,NA,NA,NA
570898.3443,1677367.061,0,0,0,0,1,0,1,0,1
570892.9184,1677363.62,0,0,0,NA,NA,NA,NA,NA,NA
570895.9161,1677369.694,0,0,0,NA,NA,NA,NA,NA,NA
570899.4939,1677371.718,0,0,0,1,0,0,0,0,NA
570899.6245,1677372.928,0,0,0,0,0,0,0,0,0
570906.9637,1677370.677,0,0,0,NA,NA,NA,NA,NA,NA
570909.5419,1677371.434,0,0,0,0,0,0,0,0,0
570920.1834,1677372.938,0,0,0,NA,NA,NA,NA,NA,NA
570923.2958,1677371.219,0,0,0,NA,NA,NA,NA,NA,NA
570925.671,1677376.094,0,0,0,0,NA,NA,NA,NA,NA
570931.6673,1677370.537,0,0,0,NA,NA,NA,NA,NA,NA
570936.2266,1677377.088,1,0,0,0,0,NA,NA,NA,NA
570935.6996,1677373.631,0,0,0,NA,NA,NA,0,NA,NA
570938.2426,1677370.919,0,0,0,1,0,0,1,1,1
570942.0622,1677373.184,0,0,1,1,1,1,1,1,1
570949.6614,1677375.628,1,1,1,0,0,NA,NA,NA,NA
570956.0398,1677376.47,0,0,0,0,0,0,0,0,0
570964.3043,1677383.723,0,0,0,NA,NA,NA,NA,NA,NA
570966.1561,1677379.217,0,0,0,0,0,0,0,0,0
570982.5511,1677378.474,0,0,0,0,0,0,0,0,0
571001.2044,1677385.564,0,0,0,0,0,0,1,1,1
570997.9444,1677387.239,0,0,0,NA,NA,NA,NA,NA,NA
571004.2458,1677379.695,0,0,0,0,0,1,0,0,0
571006.4187,1677373.665,0,0,0,1,1,1,1,1,NA
571003.6211,1677375.525,0,0,0,0,0,0,0,0,1
570997.0525,1677377.679,0,0,0,0,0,1,NA,NA,NA
570989.6701,1677375.135,0,0,0,0,0,0,1,1,0
570982.0145,1677372.935,0,0,0,0,0,0,1,1,0
570974.027,1677376.115,0,0,0,0,0,0,0,0,0
570973.5343,1677369.892,0,0,0,0,0,0,0,0,0
570965.6961,1677372.556,0,0,0,0,0,0,0,0,0
570968.1753,1677370.588,0,0,0,0,0,0,0,0,0
570960.947,1677368.246,0,0,0,0,0,0,0,0,0
570950.3418,1677367.935,0,0,1,1,1,NA,NA,NA,NA
570947.7008,1677369.739,1,1,0,0,0,1,1,NA,NA
570941.8892,1677366.723,0,0,0,NA,NA,NA,NA,NA,NA
570942.8841,1677369.374,0,0,0,NA,NA,NA,NA,NA,NA
570937.3565,1677364.134,0,0,0,NA,NA,NA,NA,NA,NA
570933.554,1677368.599,0,0,0,NA,NA,NA,0,0,0
570928.0653,1677367.718,0,0,0,NA,NA,NA,0,0,0
570927.9419,1677360.573,0,0,0,NA,NA,NA,NA,NA,NA
570636.9995,1677318.942,0,0,0,0,0,0,0,0,0
570921.9189,1677362.169,0,0,0,0,0,0,0,0,0
570921.5877,1677360.527,0,0,0,NA,NA,NA,NA,NA,NA
